"","source","target"
"4884","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4885","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4886","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4887","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4888","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4889","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4890","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4891","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4892","Destruction/Damage/Vandalism of Property","Simple Assault"
"4893","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4894","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4895","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4896","Identity Theft","Hacking/Computer Invasion"
"4897","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"4898","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"4899","Intimidation","Drug/Narcotic Violations"
"4900","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4901","Drug/Narcotic Violations","Weapon Law Violations"
"4902","Drug/Narcotic Violations","Weapon Law Violations"
"4903","All Other Larceny","Hacking/Computer Invasion"
"4904","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4905","All Other Larceny","Simple Assault"
"4906","Destruction/Damage/Vandalism of Property","Simple Assault"
"4907","Destruction/Damage/Vandalism of Property","Simple Assault"
"4908","Kidnapping/Abduction","Drug/Narcotic Violations"
"4909","Destruction/Damage/Vandalism of Property","Credit Card/Automated Teller Machine Fraud"
"4910","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4911","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"4912","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4913","All Other Larceny","Motor Vehicle Theft"
"4914","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4915","All Other Larceny","Simple Assault"
"4916","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4917","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4918","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4919","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4920","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4921","Theft From Building","Credit Card/Automated Teller Machine Fraud"
"4922","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4923","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4924","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4925","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4926","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4927","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4928","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4929","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4930","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4931","All Other Larceny","Intimidation"
"4932","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4933","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4934","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4935","Simple Assault","Destruction/Damage/Vandalism of Property"
"4936","Drug/Narcotic Violations","Weapon Law Violations"
"4937","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4938","Simple Assault","All Other Larceny"
"4939","Simple Assault","All Other Larceny"
"4940","Intimidation","Destruction/Damage/Vandalism of Property"
"4941","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4942","Simple Assault","All Other Larceny"
"4943","Simple Assault","Destruction/Damage/Vandalism of Property"
"4944","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4945","Destruction/Damage/Vandalism of Property","Robbery"
"4946","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4947","Identity Theft","All Other Larceny"
"4948","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4949","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4950","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4951","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4952","Theft From Motor Vehicle","Theft of Motor Vehicle Parts or Accessories"
"4953","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"4954","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4955","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4956","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4957","Simple Assault","Destruction/Damage/Vandalism of Property"
"4958","Simple Assault","Destruction/Damage/Vandalism of Property"
"4959","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4960","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4961","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4962","Weapon Law Violations","Drug/Narcotic Violations"
"4963","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4964","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4965","Simple Assault","All Other Larceny"
"4966","Drug/Narcotic Violations","Weapon Law Violations"
"4967","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4968","Aggravated Assault","All Other Larceny"
"4969","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"4970","Aggravated Assault","Weapon Law Violations"
"4971","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4972","All Other Larceny","Weapon Law Violations"
"4973","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4974","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4975","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4976","Credit Card/Automated Teller Machine Fraud","Robbery"
"4977","Destruction/Damage/Vandalism of Property","Intimidation"
"4978","Motor Vehicle Theft","Simple Assault"
"4979","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"4980","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4981","Weapon Law Violations","Intimidation"
"4982","Theft From Motor Vehicle","Motor Vehicle Theft"
"4983","Theft From Motor Vehicle","Motor Vehicle Theft"
"4984","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4985","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4986","Robbery","Weapon Law Violations"
"4987","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4988","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4989","Theft From Motor Vehicle","Credit Card/Automated Teller Machine Fraud"
"4990","Shoplifting","Simple Assault"
"4991","Motor Vehicle Theft","All Other Larceny"
"4992","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"4993","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"4994","Weapon Law Violations","Drug/Narcotic Violations"
"4995","Weapon Law Violations","Drug/Narcotic Violations"
"4996","Simple Assault","Destruction/Damage/Vandalism of Property"
"4997","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"4998","Weapon Law Violations","Aggravated Assault"
"4999","Weapon Law Violations","Drug/Narcotic Violations"
"5000","Aggravated Assault","Drug/Narcotic Violations"
"5001","Destruction/Damage/Vandalism of Property","Burglary/Breaking & Entering"
"5002","Drug/Narcotic Violations","Counterfeiting/Forgery"
"5003","Animal Cruelty","Simple Assault"
"5004","Drug Equipment Violations","Drug/Narcotic Violations"
"5005","Drug Equipment Violations","Burglary/Breaking & Entering"
"5006","Drug/Narcotic Violations","Burglary/Breaking & Entering"
"5007","Shoplifting","Simple Assault"
"5008","Weapon Law Violations","Drug/Narcotic Violations"
"5009","Weapon Law Violations","Simple Assault"
"5010","Weapon Law Violations","Simple Assault"
"5011","Simple Assault","Destruction/Damage/Vandalism of Property"
"5012","Weapon Law Violations","Drug/Narcotic Violations"
"5013","Weapon Law Violations","Aggravated Assault"
"5014","Weapon Law Violations","Simple Assault"
"5015","Aggravated Assault","Simple Assault"
"5016","Robbery","Weapon Law Violations"
"5017","Simple Assault","Destruction/Damage/Vandalism of Property"
"5018","Simple Assault","Intimidation"
"5019","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"5020","Simple Assault","Destruction/Damage/Vandalism of Property"
"5021","Intimidation","Destruction/Damage/Vandalism of Property"
"5022","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5023","Destruction/Damage/Vandalism of Property","All Other Larceny"
"5024","Destruction/Damage/Vandalism of Property","All Other Larceny"
"5025","Intimidation","All Other Larceny"
"5026","Simple Assault","Destruction/Damage/Vandalism of Property"
"5027","Simple Assault","All Other Larceny"
"5028","Destruction/Damage/Vandalism of Property","All Other Larceny"
"5029","Destruction/Damage/Vandalism of Property","All Other Larceny"
"5030","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5031","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"5032","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"5033","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"5034","Weapon Law Violations","Drug/Narcotic Violations"
"5035","Weapon Law Violations","Aggravated Assault"
"5036","Drug/Narcotic Violations","Aggravated Assault"
"5037","Destruction/Damage/Vandalism of Property","All Other Larceny"
"5038","Weapon Law Violations","Intimidation"
"5039","Weapon Law Violations","Simple Assault"
"5040","Weapon Law Violations","Drug/Narcotic Violations"
"5041","Intimidation","Simple Assault"
"5042","Intimidation","Drug/Narcotic Violations"
"5043","Simple Assault","Drug/Narcotic Violations"
"5044","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5045","Hacking/Computer Invasion","All Other Larceny"
"5046","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"5047","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"5048","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5049","Weapon Law Violations","Intimidation"
"5050","Simple Assault","Destruction/Damage/Vandalism of Property"
"5051","Intimidation","Drug/Narcotic Violations"
"5052","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"5053","Simple Assault","Aggravated Assault"
"5054","Fondling","Destruction/Damage/Vandalism of Property"
"5055","Destruction/Damage/Vandalism of Property","Simple Assault"
"5056","All Other Larceny","Identity Theft"
"5057","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5058","Destruction/Damage/Vandalism of Property","All Other Larceny"
"5059","Destruction/Damage/Vandalism of Property","All Other Larceny"
"5060","Destruction/Damage/Vandalism of Property","All Other Larceny"
"5061","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5062","Weapon Law Violations","Intimidation"
"5063","Simple Assault","All Other Larceny"
"5064","Simple Assault","Destruction/Damage/Vandalism of Property"
"5065","Intimidation","Destruction/Damage/Vandalism of Property"
"5066","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5067","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5068","Shoplifting","Simple Assault"
"5069","All Other Larceny","Aggravated Assault"
"5070","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5071","Weapon Law Violations","Simple Assault"
"5072","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5073","Simple Assault","Destruction/Damage/Vandalism of Property"
"5074","Intimidation","Destruction/Damage/Vandalism of Property"
"5075","Simple Assault","All Other Larceny"
"5076","Drug/Narcotic Violations","Weapon Law Violations"
"5077","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5078","Intimidation","Theft From Building"
"5079","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5080","Destruction/Damage/Vandalism of Property","All Other Larceny"
"5081","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5082","Weapon Law Violations","Intimidation"
"5083","Motor Vehicle Theft","Theft From Motor Vehicle"
"5084","Motor Vehicle Theft","Burglary/Breaking & Entering"
"5085","Theft From Motor Vehicle","Burglary/Breaking & Entering"
"5086","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5087","Theft From Building","Destruction/Damage/Vandalism of Property"
"5088","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5089","Destruction/Damage/Vandalism of Property","All Other Larceny"
"5090","Simple Assault","Destruction/Damage/Vandalism of Property"
"5091","Aggravated Assault","Weapon Law Violations"
"5092","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"5093","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"5094","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"5095","Simple Assault","All Other Larceny"
"5096","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"5097","All Other Larceny","Destruction/Damage/Vandalism of Property"
"5098","All Other Larceny","Destruction/Damage/Vandalism of Property"
"5099","Destruction/Damage/Vandalism of Property","All Other Larceny"
"5100","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5101","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5102","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"5103","Shoplifting","Drug/Narcotic Violations"
"5104","Destruction/Damage/Vandalism of Property","All Other Larceny"
"5105","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"5106","Drug/Narcotic Violations","Simple Assault"
"5107","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
